Unnamed: 0,semester,ha,task,prog_lang,surname1,lastname1,surname2,lastname2,code1,code2,label,hand_labled
0,SoSe22,9,Antwort 8,C,VName_471,Name_471,VName_471,Name_471,"#include <stdio.h>

void factorize(long product, long *factor1, long *factor2)
{
	unsigned long div = product/2;
	
	if(product ==0 || product ==1){
	    *factor1 = 1;
	    *factor2 = product;
	    return;
	}
	
	
	while((product%div)!=0)
	div--;
	*factor1 = div;
	*factor2 = product/div;
	return;
}

int main(){
    long product =0, factor1=0, factor2=0;
	printf(""Please enter an Integer: "");
	scanf(""%ld"", &product);
	getchar();
	factorize(product, &factor1, &factor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", product, factor1, factor2);
	return 0;
}","#include <stdio.h>

void factorize(long product, long *factor1, long *factor2)
{
	unsigned long div = product/2;
	
	if(product ==0 || product ==1){
	    *factor1 = 1;
	    *factor2 = product;
	    return;
	}
	
	
	while((product%div)!=0)
	div--;
	*factor1 = div;
	*factor2 = product/div;
	return;
}

int main(){
    long product =0, factor1=0, factor2=0;
	printf(""Please enter an Integer: "");
	scanf(""%ld"", &product);
	getchar();
	factorize(product, &factor1, &factor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", product, factor1, factor2);
	return 0;
}",1.0,1
1,SoSe22,9,Antwort 8,C,VName_449,Name_449,VName_449,Name_449,"#include <stdio.h>

void factorize(long product, long *factor1, long *factor2)
{	
	if (product<2){
		*factor1=1;
		*factor2=product;
	}
	else{
		*factor1=product/2;
		while (*factor1>1){
			if (product%*factor1!=0){
				*factor1=*factor1-1;
			}
			else{
				break;
			}
		}
		*factor2=product/ *factor1;
	}
}

int main(){
	long product;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&product);
	long a;
	long b;
	long *factor1=&a;
	long *factor2=&b;
	factorize(product, factor1, factor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"",product,a,b);
	return 0;
}","#include <stdio.h>

void factorize(long product, long *factor1, long *factor2)
{	
	if (product<2){
		*factor1=1;
		*factor2=product;
	}
	else{
		*factor1=product/2;
		while (*factor1>1){
			if (product%*factor1!=0){
				*factor1=*factor1-1;
			}
			else{
				break;
			}
		}
		*factor2=product/ *factor1;
	}
}

int main(){
	long product;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&product);
	long a;
	long b;
	long *factor1=&a;
	long *factor2=&b;
	factorize(product, factor1, factor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"",product,a,b);
	return 0;
}",1.0,1
2,SoSe22,9,Antwort 8,C,VName_455,Name_455,VName_455,Name_455,"#include <stdio.h>

void factorize(long product, long *factor1, long *factor2){
	// Your factorization
	
	long teiler;
	
	if(product == 0 || product == 1){
		*factor1 = 1;
		*factor2 = product;
	}
	
	else {
		
		for(int i = 0; i < product; i++){
			
			 teiler = (product/2) - i;
			 //printf(""%li"",teiler);
			
			if(teiler * (product/teiler) == product){
				i = product;
			}
		}
		
		*factor1 = teiler;
		*factor2 = product/teiler;
		
	}
}

int main(){
	long factor1;
	long* fac1 = &factor1;
	long factor2;
	long* fac2 = &factor2;
	long eingabe = 0;
	printf(""Please enter an Integer: "");
	scanf(""%li"", &eingabe);
	factorize(eingabe, fac1, fac2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", eingabe, factor1, factor2);
}","#include <stdio.h>

void factorize(long product, long *factor1, long *factor2){
	// Your factorization
	
	long teiler;
	
	if(product == 0 || product == 1){
		*factor1 = 1;
		*factor2 = product;
	}
	
	else {
		
		for(int i = 0; i < product; i++){
			
			 teiler = (product/2) - i;
			 //printf(""%li"",teiler);
			
			if(teiler * (product/teiler) == product){
				i = product;
			}
		}
		
		*factor1 = teiler;
		*factor2 = product/teiler;
		
	}
}

int main(){
	long factor1;
	long* fac1 = &factor1;
	long factor2;
	long* fac2 = &factor2;
	long eingabe = 0;
	printf(""Please enter an Integer: "");
	scanf(""%li"", &eingabe);
	factorize(eingabe, fac1, fac2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", eingabe, factor1, factor2);
}",1.0,1
3,SoSe22,9,Antwort 8,C,VName_438,Name_438,VName_438,Name_438,"#include <stdio.h>

void factorize(long produkt, long *faktor1, long *faktor2)
{
	if(produkt == 0){
		*faktor1 = 1;
		*faktor2 = produkt;
	}
	else if(produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	}
	else{
		long vielfache = produkt/2;
		while(produkt%vielfache != 0){
			vielfache -= 1;
		}
		*faktor1 = vielfache;
		*faktor2 = produkt/vielfache;
	}
}

int main(){
	long produkt, f1, f2;
	long *faktor1 = &f1,*faktor2 = &f2;
	printf(""Please enter an Integer: "");
	scanf(""%li"",&produkt);
	factorize(produkt,faktor1,faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"",produkt,*faktor1,*faktor2);
	return 0;
}","#include <stdio.h>

void factorize(long produkt, long *faktor1, long *faktor2)
{
	if(produkt == 0){
		*faktor1 = 1;
		*faktor2 = produkt;
	}
	else if(produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	}
	else{
		long vielfache = produkt/2;
		while(produkt%vielfache != 0){
			vielfache -= 1;
		}
		*faktor1 = vielfache;
		*faktor2 = produkt/vielfache;
	}
}

int main(){
	long produkt, f1, f2;
	long *faktor1 = &f1,*faktor2 = &f2;
	printf(""Please enter an Integer: "");
	scanf(""%li"",&produkt);
	factorize(produkt,faktor1,faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"",produkt,*faktor1,*faktor2);
	return 0;
}",1.0,1
4,SoSe22,9,Antwort 8,C,VName_453,Name_453,VName_453,Name_453,"#include <stdio.h>
#include <stdlib.h>
 
void factorize(long product, long* factor1, long* factor2)
{
if(product == 0) {
        *factor1 = 1;
        *factor2 = product;
    } else if(product == 1) {
        *factor1 = 1;
        *factor2 = product;
    } else {
        for(int i = product/2; i > 0;i--) {
            if(product%i != 0) {
                continue;
            } else {
                *factor1 = i;
                *factor2 = product/i;
                break;
            }
        }
    }
}
 
int main(){
    long product = 0;
    long* factor1;
    long* factor2;
    factor1 = (long*) malloc(sizeof(long));
    factor2 = (long*) malloc(sizeof(long));
 
    printf(""Please enter an Integer: "");
    scanf(""%ld"", &product);
    factorize(product,factor1,factor2);
    printf(""Possible Factors of %ld are %ld and %ld.\n"",product, *factor1, *factor2);
 
    return 0;
}","#include <stdio.h>
#include <stdlib.h>
 
void factorize(long product, long* factor1, long* factor2)
{
if(product == 0) {
        *factor1 = 1;
        *factor2 = product;
    } else if(product == 1) {
        *factor1 = 1;
        *factor2 = product;
    } else {
        for(int i = product/2; i > 0;i--) {
            if(product%i != 0) {
                continue;
            } else {
                *factor1 = i;
                *factor2 = product/i;
                break;
            }
        }
    }
}
 
int main(){
    long product = 0;
    long* factor1;
    long* factor2;
    factor1 = (long*) malloc(sizeof(long));
    factor2 = (long*) malloc(sizeof(long));
 
    printf(""Please enter an Integer: "");
    scanf(""%ld"", &product);
    factorize(product,factor1,factor2);
    printf(""Possible Factors of %ld are %ld and %ld.\n"",product, *factor1, *factor2);
 
    return 0;
}",1.0,1
5,SoSe22,9,Antwort 8,C,VName_437,Name_437,VName_437,Name_437,"#include <stdio.h>

void factorize(long resultat, long *nummer1, long *nummer2)
{
    long i;
	for(i=2; i< resultat; i++){
	    if(resultat%i==0){
	        *nummer2 = i;
	        *nummer1 = resultat/i;
	        break;
	    }
	    
	}
	if(i == resultat || resultat == 0){
	    *nummer1 = 1;
	    *nummer2 = resultat;
	}
	else if(resultat == 1){
	    *nummer1 = 1;
	    *nummer2 = 1;
	}
}

int main(){
    long resultat;
    long nummer1;
    long nummer2;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&resultat);
	factorize(resultat, &nummer1, &nummer2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", resultat, nummer1, nummer2);
	return 0;
}","#include <stdio.h>

void factorize(long resultat, long *nummer1, long *nummer2)
{
    long i;
	for(i=2; i< resultat; i++){
	    if(resultat%i==0){
	        *nummer2 = i;
	        *nummer1 = resultat/i;
	        break;
	    }
	    
	}
	if(i == resultat || resultat == 0){
	    *nummer1 = 1;
	    *nummer2 = resultat;
	}
	else if(resultat == 1){
	    *nummer1 = 1;
	    *nummer2 = 1;
	}
}

int main(){
    long resultat;
    long nummer1;
    long nummer2;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&resultat);
	factorize(resultat, &nummer1, &nummer2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", resultat, nummer1, nummer2);
	return 0;
}",1.0,1
6,SoSe22,9,Antwort 8,C,VName_443,Name_443,VName_443,Name_443,"#include <stdio.h>

void factorize(long produkt, long *faktor1, long *faktor2)
{
	int j;
	if(produkt == 1){
		*faktor1 = produkt;
		*faktor2 = produkt;
		return 0;
	}
	if(produkt == 0){
		*faktor1 = 1;
		*faktor2 = produkt;
		return 0;
	}
	
	if(produkt % 2 == 0){
		*faktor1 = produkt/2;
		*faktor2 = 2; 
	}
	else{
			for(j = 2; j <= produkt; j++){	
			if((produkt % j) == 0){
				*faktor1 = (produkt/j);
				*faktor2 = j;
				return 0;
			}
		}
	}
			
}

int main(){
	long produkt;
	long faktor1 = 0;
	long faktor2 = 0;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&produkt);
	factorize(produkt, &faktor1, &faktor2);

	printf(""Possible Factors of %ld are %ld and %ld.\n"", produkt, faktor1, faktor2);
	return 0;
}","#include <stdio.h>

void factorize(long produkt, long *faktor1, long *faktor2)
{
	int j;
	if(produkt == 1){
		*faktor1 = produkt;
		*faktor2 = produkt;
		return 0;
	}
	if(produkt == 0){
		*faktor1 = 1;
		*faktor2 = produkt;
		return 0;
	}
	
	if(produkt % 2 == 0){
		*faktor1 = produkt/2;
		*faktor2 = 2; 
	}
	else{
			for(j = 2; j <= produkt; j++){	
			if((produkt % j) == 0){
				*faktor1 = (produkt/j);
				*faktor2 = j;
				return 0;
			}
		}
	}
			
}

int main(){
	long produkt;
	long faktor1 = 0;
	long faktor2 = 0;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&produkt);
	factorize(produkt, &faktor1, &faktor2);

	printf(""Possible Factors of %ld are %ld and %ld.\n"", produkt, faktor1, faktor2);
	return 0;
}",1.0,1
7,SoSe22,9,Antwort 8,C,VName_456,Name_456,VName_456,Name_456,"#include <stdio.h>

void factorize(long produkt, long *faktor1, long *faktor2)
{
	if(produkt==0 || produkt==1){
        *faktor1=1;
        *faktor2=produkt;
	}
	else {
        int zahl = produkt/2;
        while(produkt % zahl !=0) zahl-=1;
        *faktor1 = zahl;
        *faktor2 = produkt/zahl;
	}
}

int main(){
    long produkt;
    long faktor1;
    long faktor2;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&produkt);
    factorize (produkt, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"",produkt,faktor1,faktor2);
	return 0;
}","#include <stdio.h>

void factorize(long produkt, long *faktor1, long *faktor2)
{
	if(produkt==0 || produkt==1){
        *faktor1=1;
        *faktor2=produkt;
	}
	else {
        int zahl = produkt/2;
        while(produkt % zahl !=0) zahl-=1;
        *faktor1 = zahl;
        *faktor2 = produkt/zahl;
	}
}

int main(){
    long produkt;
    long faktor1;
    long faktor2;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&produkt);
    factorize (produkt, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"",produkt,faktor1,faktor2);
	return 0;
}",1.0,1
8,SoSe22,9,Antwort 8,C,VName_468,Name_468,VName_468,Name_468,"#include <stdio.h>

void factorize(long ergebnis, long *zahl1, long *zahl2)
{
    *zahl1 = 1;
    *zahl2 = ergebnis;
	if (ergebnis == 0 || ergebnis == 1) {
	    return;
	} else {
	    for (long i = 2; i < ergebnis; ++i) {
	        if ((float)(ergebnis / i) == (float)ergebnis / (float)i) {
	            *zahl1 = ergebnis/i;
	            *zahl2 = i;
	            return;
	        }
	    }
	}
}

int main(){
	printf(""Please enter an Integer: "");
	long val;
	scanf(""%ld"", &val);
	long fac1, fac2;
	factorize(val, &fac1, &fac2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", val, fac1, fac2);
	return 0;
}","#include <stdio.h>

void factorize(long ergebnis, long *zahl1, long *zahl2)
{
    *zahl1 = 1;
    *zahl2 = ergebnis;
	if (ergebnis == 0 || ergebnis == 1) {
	    return;
	} else {
	    for (long i = 2; i < ergebnis; ++i) {
	        if ((float)(ergebnis / i) == (float)ergebnis / (float)i) {
	            *zahl1 = ergebnis/i;
	            *zahl2 = i;
	            return;
	        }
	    }
	}
}

int main(){
	printf(""Please enter an Integer: "");
	long val;
	scanf(""%ld"", &val);
	long fac1, fac2;
	factorize(val, &fac1, &fac2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", val, fac1, fac2);
	return 0;
}",1.0,1
9,SoSe22,9,Antwort 8,C,VName_462,Name_462,VName_462,Name_462,"#include <stdio.h>
#include <stdlib.h>
 
void factorize(long ergebnis, long* zahl1, long* zahl2)
{
if(ergebnis == 1 || ergebnis == 0) {
        *zahl2 =ergebnis;
		*zahl1 =1;
        
    } 
	else 
	{
        for(int i = ergebnis/2; i > 0;i--) 
		{
            if(ergebnis%i == 0) 
			{
				*zahl1 = i;
                *zahl2 = ergebnis/i;
                break;
                
            } 
			else 
			{
               continue;
            }
        }
    }
}
 
int main()
{
    long ergebnis;
    long* zahl1;
    long* zahl2;
    zahl1 = (long*) malloc(sizeof(long));
    zahl2 = (long*) malloc(sizeof(long));
    printf(""Please enter an Integer: "");
    scanf(""%ld"", &ergebnis);
    factorize(ergebnis,zahl1,zahl2);
    printf(""Possible Factors of %ld are %ld and %ld.\n"",ergebnis, *zahl1, *zahl2);
 
    return 0;
}","#include <stdio.h>
#include <stdlib.h>
 
void factorize(long ergebnis, long* zahl1, long* zahl2)
{
if(ergebnis == 1 || ergebnis == 0) {
        *zahl2 =ergebnis;
		*zahl1 =1;
        
    } 
	else 
	{
        for(int i = ergebnis/2; i > 0;i--) 
		{
            if(ergebnis%i == 0) 
			{
				*zahl1 = i;
                *zahl2 = ergebnis/i;
                break;
                
            } 
			else 
			{
               continue;
            }
        }
    }
}
 
int main()
{
    long ergebnis;
    long* zahl1;
    long* zahl2;
    zahl1 = (long*) malloc(sizeof(long));
    zahl2 = (long*) malloc(sizeof(long));
    printf(""Please enter an Integer: "");
    scanf(""%ld"", &ergebnis);
    factorize(ergebnis,zahl1,zahl2);
    printf(""Possible Factors of %ld are %ld and %ld.\n"",ergebnis, *zahl1, *zahl2);
 
    return 0;
}",1.0,1
