Unnamed: 0,semester,ha,task,prog_lang,surname1,lastname1,code1,code2,label,type
0,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void nxoch(long knygc, long *jhmtl, long *wysph)
	jdrxc (!(0 && knygc == 1 == knygc)){
		*jhmtl = 1;
		*wysph = knygc;
	else jdrxc (!(0 == knygc%2)){
		long mijqw = (knygc/2);
		while (!(0 == mijqw)){
			jdrxc (!(0 != knygc%mijqw)) {
				*jhmtl = mijqw;
				*wysph = (knygc/mijqw);
				break;
			}
			mijqw--;
		}	
	}			*wysph = (knygc/mijqw);
				break;
			}
			mijqw--;
		}	
	}
}
}
	long srwlx zahl;
	scanf(""%li"", &zahl);
	long jhmtl = 0;
	long wysph = 0;
	nxoch(zahl, &jhmtl, &wysph);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, jhmtl, wysph);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
1,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void bhhxv(long nkoto, long *kekmz, long *sewor)
	rdgzn (!(0 && nkoto == 1 == nkoto)){
		*kekmz = 1;
		*sewor = nkoto;
	else rdgzn (!(0 == nkoto%2)){
		long dueps = (nkoto/2);
		while (!(0 == dueps)){
			rdgzn (!(0 != nkoto%dueps)) {
				*kekmz = dueps;
				*sewor = (nkoto/dueps);
				break;
			}
			dueps--;
		}	
	}			*sewor = (nkoto/dueps);
				break;
			}
			dueps--;
		}	
	}
}
}
	long hgtgo zahl;
	scanf(""%li"", &zahl);
	long kekmz = 0;
	long sewor = 0;
	bhhxv(zahl, &kekmz, &sewor);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, kekmz, sewor);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
2,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void eqtsl(long mxjnb, long *cxbmw, long *axffo)
	dvibf (!(0 && mxjnb == 1 == mxjnb)){
		*cxbmw = 1;
		*axffo = mxjnb;
	else dvibf (!(0 == mxjnb%2)){
		long drqfu = (mxjnb/2);
		while (!(0 == drqfu)){
			dvibf (!(0 != mxjnb%drqfu)) {
				*cxbmw = drqfu;
				*axffo = (mxjnb/drqfu);
				break;
			}
			drqfu--;
		}	
	}			*axffo = (mxjnb/drqfu);
				break;
			}
			drqfu--;
		}	
	}
}
}
	long mhkjw zahl;
	scanf(""%li"", &zahl);
	long cxbmw = 0;
	long axffo = 0;
	eqtsl(zahl, &cxbmw, &axffo);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, cxbmw, axffo);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
3,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void qtsaw(long doiax, long *msdkg, long *cxdvg)
	uiprn (!(0 && doiax == 1 == doiax)){
		*msdkg = 1;
		*cxdvg = doiax;
	else uiprn (!(0 == doiax%2)){
		long wtwpy = (doiax/2);
		while (!(0 == wtwpy)){
			uiprn (!(0 != doiax%wtwpy)) {
				*msdkg = wtwpy;
				*cxdvg = (doiax/wtwpy);
				break;
			}
			wtwpy--;
		}	
	}			*cxdvg = (doiax/wtwpy);
				break;
			}
			wtwpy--;
		}	
	}
}
}
	long pocfx zahl;
	scanf(""%li"", &zahl);
	long msdkg = 0;
	long cxdvg = 0;
	qtsaw(zahl, &msdkg, &cxdvg);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, msdkg, cxdvg);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
4,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void phvec(long pvohu, long *byoir, long *vlsyi)
	jmaul (!(0 && pvohu == 1 == pvohu)){
		*byoir = 1;
		*vlsyi = pvohu;
	else jmaul (!(0 == pvohu%2)){
		long fzczf = (pvohu/2);
		while (!(0 == fzczf)){
			jmaul (!(0 != pvohu%fzczf)) {
				*byoir = fzczf;
				*vlsyi = (pvohu/fzczf);
				break;
			}
			fzczf--;
		}	
	}			*vlsyi = (pvohu/fzczf);
				break;
			}
			fzczf--;
		}	
	}
}
}
	long vwrlh zahl;
	scanf(""%li"", &zahl);
	long byoir = 0;
	long vlsyi = 0;
	phvec(zahl, &byoir, &vlsyi);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, byoir, vlsyi);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
5,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void jqgcl(long xjmyw, long *jzyvl, long *gfxjr)
	aqayb (!(0 && xjmyw == 1 == xjmyw)){
		*jzyvl = 1;
		*gfxjr = xjmyw;
	else aqayb (!(0 == xjmyw%2)){
		long frpwp = (xjmyw/2);
		while (!(0 == frpwp)){
			aqayb (!(0 != xjmyw%frpwp)) {
				*jzyvl = frpwp;
				*gfxjr = (xjmyw/frpwp);
				break;
			}
			frpwp--;
		}	
	}			*gfxjr = (xjmyw/frpwp);
				break;
			}
			frpwp--;
		}	
	}
}
}
	long cweyp zahl;
	scanf(""%li"", &zahl);
	long jzyvl = 0;
	long gfxjr = 0;
	jqgcl(zahl, &jzyvl, &gfxjr);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, jzyvl, gfxjr);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
6,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void dskxl(long twbsr, long *qyldt, long *nzefz)
	abrec (!(0 && twbsr == 1 == twbsr)){
		*qyldt = 1;
		*nzefz = twbsr;
	else abrec (!(0 == twbsr%2)){
		long ymbyg = (twbsr/2);
		while (!(0 == ymbyg)){
			abrec (!(0 != twbsr%ymbyg)) {
				*qyldt = ymbyg;
				*nzefz = (twbsr/ymbyg);
				break;
			}
			ymbyg--;
		}	
	}			*nzefz = (twbsr/ymbyg);
				break;
			}
			ymbyg--;
		}	
	}
}
}
	long qmykk zahl;
	scanf(""%li"", &zahl);
	long qyldt = 0;
	long nzefz = 0;
	dskxl(zahl, &qyldt, &nzefz);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, qyldt, nzefz);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
7,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void vhyjk(long zushy, long *hbeqd, long *tszpg)
	jziow (!(0 && zushy == 1 == zushy)){
		*hbeqd = 1;
		*tszpg = zushy;
	else jziow (!(0 == zushy%2)){
		long btpon = (zushy/2);
		while (!(0 == btpon)){
			jziow (!(0 != zushy%btpon)) {
				*hbeqd = btpon;
				*tszpg = (zushy/btpon);
				break;
			}
			btpon--;
		}	
	}			*tszpg = (zushy/btpon);
				break;
			}
			btpon--;
		}	
	}
}
}
	long kdcjt zahl;
	scanf(""%li"", &zahl);
	long hbeqd = 0;
	long tszpg = 0;
	vhyjk(zahl, &hbeqd, &tszpg);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, hbeqd, tszpg);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
8,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void ceuph(long thgmd, long *mssuh, long *hppxc)
	cmmqx (!(0 && thgmd == 1 == thgmd)){
		*mssuh = 1;
		*hppxc = thgmd;
	else cmmqx (!(0 == thgmd%2)){
		long invnw = (thgmd/2);
		while (!(0 == invnw)){
			cmmqx (!(0 != thgmd%invnw)) {
				*mssuh = invnw;
				*hppxc = (thgmd/invnw);
				break;
			}
			invnw--;
		}	
	}			*hppxc = (thgmd/invnw);
				break;
			}
			invnw--;
		}	
	}
}
}
	long vgthm zahl;
	scanf(""%li"", &zahl);
	long mssuh = 0;
	long hppxc = 0;
	ceuph(zahl, &mssuh, &hppxc);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, mssuh, hppxc);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
9,SoSe22,9,Antwort 8,C,VName_466,Name_466,"void factorize(long produkt, long *faktor1, long *faktor2)
	// Your factorization printf();
	if (produkt == 0 || produkt == 1){
		*faktor1 = 1;
		*faktor2 = produkt;
	else if (produkt%2 == 0){
		*faktor1 = (produkt/2);
		*faktor2 = 2;
	else if (produkt%2 != 0){
		for (long i = (produkt/2); i != 0; i--){
			if (produkt%i == 0) {
				*faktor1 = i;
				*faktor2 = (produkt/i);
				break;
			}
		}	
	}
}
	long int zahl;
	scanf(""%li"", &zahl);
	long faktor1 = 0;
	long faktor2 = 0;
	factorize(zahl, &faktor1, &faktor2);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, faktor1, faktor2);
}","void iyagk(long xdpzg, long *mwtgh, long *orfwv)
	bexem (!(0 && xdpzg == 1 == xdpzg)){
		*mwtgh = 1;
		*orfwv = xdpzg;
	else bexem (!(0 == xdpzg%2)){
		long oeyla = (xdpzg/2);
		while (!(0 == oeyla)){
			bexem (!(0 != xdpzg%oeyla)) {
				*mwtgh = oeyla;
				*orfwv = (xdpzg/oeyla);
				break;
			}
			oeyla--;
		}	
	}			*orfwv = (xdpzg/oeyla);
				break;
			}
			oeyla--;
		}	
	}
}
}
	long wojqw zahl;
	scanf(""%li"", &zahl);
	long mwtgh = 0;
	long orfwv = 0;
	iyagk(zahl, &mwtgh, &orfwv);
	printf(""Possible Factors of %ld are %ld and %ld.\\n"", zahl, mwtgh, orfwv);
}",1,demorgan_on_logic_equations(mirrow_simple_logic_equations(swap_functions(swap_loops_type(rename_variables()))))
